Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2000","YR2000","1.37"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2001","YR2001","1.31"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2002","YR2002","1.25"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2003","YR2003","1.22"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2004","YR2004","1.23"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2005","YR2005","1.24"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2006","YR2006","1.27"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2007","YR2007","1.31"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2008","YR2008","1.39"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2009","YR2009","1.4"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2010","YR2010","1.41"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2011","YR2011","1.33"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2012","YR2012","1.33"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2013","YR2013","1.29"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2014","YR2014","1.32"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2015","YR2015","1.32"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2016","YR2016","1.39"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2017","YR2017","1.48"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2018","YR2018","1.46"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2019","YR2019","1.44"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2020","YR2020","1.38"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2021","YR2021","1.45"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2022","YR2021","1.46"
"Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","Poland","POL","2023","YR2021","1.47"

