Country name,Country code,Region,Policy on fertility level,Year
Afghanistan,4,Asia,No intervention,"1976"
Albania,8,Europe,Maintain,"1976"
Algeria,12,Africa,No intervention,"1976"
Argentina,32,Latin Amer. & Caribbean,Raise,"1976"
Australia,36,Oceania,No intervention,"1976"
Austria,40,Europe,No intervention,"1976"
Bahamas,44,Latin Amer. & Caribbean,No intervention,"1976"
Bahrain,48,Asia,No intervention,"1976"
Bangladesh,50,Asia,Lower,"1976"
Barbados,52,Latin Amer. & Caribbean,Lower,"1976"
Belarus,112,Europe,Maintain,"1976"
Belgium,56,Europe,No intervention,"1976"
Benin,204,Africa,No intervention,"1976"
Bhutan,64,Asia,No intervention,"1976"
Bolivia (Plurinational State of),68,Latin Amer. & Caribbean,No intervention,"1976"
Botswana,72,Africa,Lower,"1976"
Brazil,76,Latin Amer. & Caribbean,No intervention,"1976"
Bulgaria,100,Europe,Raise,"1976"
Burkina Faso,854,Africa,No intervention,"1976"
Burundi,108,Africa,No intervention,"1976"
Cabo Verde,132,Africa,No intervention,"1976"
Cambodia,116,Asia,Raise,"1976"
Cameroon,120,Africa,No intervention,"1976"
Canada,124,Northern America,No intervention,"1976"
Central African Republic,140,Africa,No intervention,"1976"
Chad,148,Africa,No intervention,"1976"
Chile,152,Latin Amer. & Caribbean,No intervention,"1976"
China,156,Asia,Lower,"1976"
Colombia,170,Latin Amer. & Caribbean,Lower,"1976"
Comoros,174,Africa,No intervention,"1976"
Congo,178,Africa,No intervention,"1976"
Costa Rica,188,Latin Amer. & Caribbean,No intervention,"1976"
Côte d'Ivoire,384,Africa,Maintain,"1976"
Cuba,192,Latin Amer. & Caribbean,No intervention,"1976"
Cyprus,196,Asia,No intervention,"1976"
Democratic People's Republic of Korea,408,Asia,Maintain,"1976"
Democratic Republic of the Congo,180,Africa,No intervention,"1976"
Denmark,208,Europe,No intervention,"1976"
Dominican Republic,214,Latin Amer. & Caribbean,Lower,"1976"
Ecuador,218,Latin Amer. & Caribbean,No intervention,"1976"
Egypt,818,Africa,Lower,"1976"
El Salvador,222,Latin Amer. & Caribbean,Lower,"1976"
Equatorial Guinea,226,Africa,No intervention,"1976"
Ethiopia,231,Africa,No intervention,"1976"
Fiji,242,Oceania,Lower,"1976"
Finland,246,Europe,Raise,"1976"
France,250,Europe,Raise,"1976"
Gabon,266,Africa,Raise,"1976"
Gambia,270,Africa,No intervention,"1976"
Ghana,288,Africa,Lower,"1976"
Greece,300,Europe,Raise,"1976"
Grenada,308,Latin Amer. & Caribbean,Lower,"1976"
Guatemala,320,Latin Amer. & Caribbean,No intervention,"1976"
Guinea,324,Africa,No intervention,"1976"
Guinea-Bissau,624,Africa,No intervention,"1976"
Guyana,328,Latin Amer. & Caribbean,No intervention,"1976"
Haiti,332,Latin Amer. & Caribbean,Lower,"1976"
Holy See,336,Europe,No intervention,"1976"
Honduras,340,Latin Amer. & Caribbean,Lower,"1976"
Hungary,348,Europe,Maintain,"1976"
Iceland,352,Europe,No intervention,"1976"
India,356,Asia,Lower,"1976"
Indonesia,360,Asia,Lower,"1976"
Iran (Islamic Republic of),364,Asia,Lower,"1976"
Iraq,368,Asia,Maintain,"1976"
Ireland,372,Europe,Maintain,"1976"
Israel,376,Asia,Raise,"1976"
Italy,380,Europe,No intervention,"1976"
Jamaica,388,Latin Amer. & Caribbean,Lower,"1976"
Japan,392,Asia,No intervention,"1976"
Jordan,400,Asia,No intervention,"1976"
Kenya,404,Africa,Lower,"1976"
Kuwait,414,Asia,Maintain,"1976"
Lao People's Democratic Republic,418,Asia,Maintain,"1976"
Lebanon,422,Asia,No intervention,"1976"
Lesotho,426,Africa,Lower,"1976"
Liberia,430,Africa,No intervention,"1976"
Libya,434,Africa,Raise,"1976"
Liechtenstein,438,Europe,Raise,"1976"
Luxembourg,442,Europe,Raise,"1976"
Madagascar,450,Africa,No intervention,"1976"
Malawi,454,Africa,No intervention,"1976"
Malaysia,458,Asia,Lower,"1976"
Maldives,462,Asia,No intervention,"1976"
Mali,466,Africa,No intervention,"1976"
Malta,470,Europe,No intervention,"1976"
Mauritania,478,Africa,No intervention,"1976"
Mauritius,480,Africa,Lower,"1976"
Mexico,484,Latin Amer. & Caribbean,Lower,"1976"
Monaco,492,Europe,Raise,"1976"
Mongolia,496,Asia,Maintain,"1976"
Morocco,504,Africa,Lower,"1976"
Mozambique,508,Africa,Maintain,"1976"
Myanmar,104,Asia,No intervention,"1976"
Nauru,520,Oceania,Maintain,"1976"
Nepal,524,Asia,Lower,"1976"
Netherlands,528,Europe,No intervention,"1976"
New Zealand,554,Oceania,No intervention,"1976"
Nicaragua,558,Latin Amer. & Caribbean,No intervention,"1976"
Niger,562,Africa,No intervention,"1976"
Nigeria,566,Africa,No intervention,"1976"
Norway,578,Europe,No intervention,"1976"
Oman,512,Asia,Maintain,"1976"
Pakistan,586,Asia,Lower,"1976"
Panama,591,Latin Amer. & Caribbean,No intervention,"1976"
Papua New Guinea,598,Oceania,Lower,"1976"
Paraguay,600,Latin Amer. & Caribbean,No intervention,"1976"
Peru,604,Latin Amer. & Caribbean,No intervention,"1976"
Philippines,608,Asia,Lower,"1976"
Poland,616,Europe,Maintain,"1976"
Portugal,620,Europe,No intervention,"1976"
Qatar,634,Asia,Maintain,"1976"
Republic of Korea,410,Asia,Lower,"1976"
Romania,642,Europe,Maintain,"1976"
Rwanda,646,Africa,No intervention,"1976"
Samoa,882,Oceania,Lower,"1976"
San Marino,674,Europe,No intervention,"1976"
Sao Tome and Principe,678,Africa,No intervention,"1976"
Saudi Arabia,682,Asia,Maintain,"1976"
Senegal,686,Africa,No intervention,"1976"
Seychelles,690,Africa,Lower,"1976"
Sierra Leone,694,Africa,No intervention,"1976"
Singapore,702,Asia,No intervention,"1976"
Somalia,706,Africa,No intervention,"1976"
South Africa,710,Africa,Lower,"1976"
Spain,724,Europe,No intervention,"1976"
Sri Lanka,144,Asia,Lower,"1976"
Sudan (including South Sudan),736,Africa,No intervention,"1976"
Suriname,740,Latin Amer. & Caribbean,No intervention,"1976"
Swaziland,748,Africa,Lower,"1976"
Sweden,752,Europe,No intervention,"1976"
Switzerland,756,Europe,No intervention,"1976"
Syrian Arab Republic,760,Asia,No intervention,"1976"
Thailand,764,Asia,Lower,"1976"
Togo,768,Africa,No intervention,"1976"
Tonga,776,Oceania,Lower,"1976"
Trinidad and Tobago,780,Latin Amer. & Caribbean,Lower,"1976"
Tunisia,788,Africa,Lower,"1976"
Turkey,792,Asia,Lower,"1976"
Uganda,800,Africa,Lower,"1976"
Ukraine,804,Europe,Maintain,"1976"
United Arab Emirates,784,Asia,Maintain,"1976"
United Kingdom,826,Europe,No intervention,"1976"
United Republic of Tanzania,834,Africa,No intervention,"1976"
