"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,1.18,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,1.18,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.13,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,1.23,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.21,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,1.19,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.2,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,1.25,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.77,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.75,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.67,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.71,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.78,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,1.74,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,1.93,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,2.94,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,2.99,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,2.95,,
"DEU","Germany","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,3.14,,
